attempt_id,test_id,total_time_seconds,score_correct,score_total,n_items,rapid_share,n_mc_items,median_mc_item_time,mc_revision_share,score,pace_seconds_per_item,label
010c4f8b-9749-47eb-8644-4550ff348251,math_algebra1_2014,2016,15,50,50,0.08,43,6.0,0.06976744186046512,0.3,40.32,clean
01219ccf-0dc1-4133-a69c-efcef77ce06f,reading_endofcourse_practice_2024,142,11,29,29,0.6551724137931034,29,2.0,0.0,0.3793103448275862,4.896551724137931,rushed_guess
0126f136-18d0-4ca1-a708-61f7d6b54fc3,math_grade3_practice_2023,469,17,17,17,0.0,17,15.0,0.0,1.0,27.58823529411765,clean
012f9acb-0c47-4a95-92e8-52bf7db96bc7,math_grade4_practice_2023,72,17,18,18,0.05555555555555555,18,3.0,0.0,0.9444444444444444,4.0,clean
014e53f3-6f2b-4a8e-9a87-ae50e16950f2,reading_grade4_practice_2024,915,32,42,42,0.0,42,13.0,0.11904761904761904,0.7619047619047619,21.785714285714285,clean
0160e022-b468-4a10-9387-9b82e2a5dd69,reading_grade4_practice_2024,2073,28,42,42,0.023809523809523808,42,14.0,0.14285714285714285,0.6666666666666666,49.357142857142854,clean
01612a6e-d418-4917-928f-99d6e233fae5,reading_grade7_2015,1257,37,45,45,0.0,45,19.0,0.0,0.8222222222222222,27.933333333333334,clean
0166c6db-3a76-4447-a777-ac694293329a,reading_endofcourse_practice_2024,177,25,29,29,0.5862068965517241,29,3.0,0.06896551724137931,0.8620689655172413,6.103448275862069,clean
0169136f-76f3-4aba-808e-ceddab80940f,science_chemistry_2015,62316,26,46,46,0.6304347826086957,40,4.5,0.0,0.5652173913043478,1354.695652173913,clean
016aaf06-a752-40c2-a4c0-9325a8fe7b3f,science_biology_2015,2370,33,46,46,0.0,40,30.0,0.1,0.717391304347826,51.52173913043478,clean
016f72b0-8002-4a86-a883-211e15cdb710,math_grade3_2014,254,26,40,40,0.525,35,4.0,0.08571428571428572,0.65,6.35,clean
0171f955-b56d-49a4-840d-b722cd9257d9,reading_grade5_practice_2024,1570,18,38,38,0.05263157894736842,38,20.0,0.3157894736842105,0.47368421052631576,41.31578947368421,clean
0178398f-c39d-4081-9bab-1a88350f1a61,math_grade5_practice_2023,142,20,24,24,0.0,24,4.0,0.041666666666666664,0.8333333333333334,5.916666666666667,clean
01796a10-7a82-4b81-bed2-69d3f98816f8,math_grade7_2014,42898,33,50,50,0.0,46,50.5,0.17391304347826086,0.66,857.96,clean
017d3023-e1c7-41d0-b769-3ac9aa5d57a3,science_grade5_2015,210,36,36,36,0.3333333333333333,34,3.0,0.0,1.0,5.833333333333333,clean
01928736-2ca3-46ec-896a-010ca61bd97d,math_grade6_practice_2023,55,0,23,23,0.43478260869565216,23,2.0,0.08695652173913043,0.0,2.391304347826087,rushed_guess
0193775b-bedc-41fb-ad28-1d79aee0091a,math_algebra1_2015,3498,36,44,44,0.18181818181818182,40,30.5,0.1,0.8181818181818182,79.5,clean
01985def-2d03-4d66-97ae-2f4a007aba67,math_grade3_practice_2023,168,17,17,17,0.0,17,7.0,0.0,1.0,9.882352941176471,clean
0198d5cc-89bf-493e-90e3-86fa7c2c4ed2,math_grade4_practice_2023,161,18,18,18,0.0,18,5.0,0.05555555555555555,1.0,8.944444444444445,clean
019d5881-0a77-4a07-b9f1-75e008e59616,math_grade5_practice_2023,216,23,24,24,0.0,24,3.5,0.20833333333333334,0.9583333333333334,9.0,clean
01a79ebd-c9d0-4246-a9dc-93aa406c247d,math_grade3_practice_2023,505,14,17,17,0.0,17,13.0,0.058823529411764705,0.8235294117647058,29.705882352941178,clean
01b52a6e-931a-459f-81c9-909c526973f7,math_grade3_practice_2023,72,17,17,17,0.0,17,3.0,0.0,1.0,4.235294117647059,clean
01c0d1b6-0185-4bef-b7ca-7282145f8114,math_algebra1_practice_2023,1237,9,18,18,0.3888888888888889,18,22.5,0.16666666666666666,0.5,68.72222222222223,clean
01c139a0-1045-4940-ae84-4a1766db83b5,reading_grade6_practice_2024,1439,27,29,29,0.0,29,12.0,0.034482758620689655,0.9310344827586207,49.62068965517241,clean
